Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000    0.215    0.043 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/compiler.py:955(type_inference_stage)
       51    0.001    0.000    0.213    0.004 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/lowering.py:557(lower_getitem)
 1018/968    0.003    0.000    0.207    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
    29897    0.056    0.000    0.202    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1695(host_memory_size)
     2082    0.004    0.000    0.197    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/fromnumeric.py:976(argmax)
   233128    0.119    0.000    0.194    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/dummyarray.py:135(<genexpr>)
3277/3214    0.083    0.000    0.192    0.000 {built-in method builtins.__build_class__}
     2082    0.189    0.000    0.189    0.000 {method 'argmax' of 'numpy.ndarray' objects}
    29897    0.093    0.000    0.188    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1685(memory_size_from_info)
    21977    0.187    0.000    0.187    0.000 {built-in method numpy.core.multiarray.copyto}
   115373    0.109    0.000    0.186    0.000 /home/jaurim/anaconda3/lib/python3.7/logging/__init__.py:1310(debug)
      874    0.004    0.000    0.185    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
       65    0.002    0.000    0.183    0.003 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/targets/arrayobj.py:309(basic_indexing)
    59794    0.112    0.000    0.180    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/devicearray.py:613(sentry_contiguous)
        1    0.001    0.001    0.179    0.179 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/stats/_continuous_distns.py:5(<module>)
        5    0.000    0.000    0.177    0.035 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/target.py:94(prepare_cuda_kernel)
      874    0.177    0.000    0.177    0.000 {built-in method marshal.loads}
   137205    0.115    0.000    0.176    0.000 {built-in method _abc._abc_instancecheck}
